1,8148441,,,1,PHP
2,8148465,,8148441,0,
2,8148468,,8148441,0,
2,8148469,,8148441,4,
2,8148508,,8148441,0,
2,8148743,,8148441,1,
1,20789091,,,0,C++
2,20808299,,20789091,0,
2,23133744,,20789091,1,
1,6913845,,,0,PHP
1,13858706,,,1,PHP
2,13858748,,13858706,8,
2,13859792,,13858706,3,
2,13860135,,13858706,0,
1,1655955,,,2,Java
2,1656497,,1655955,2,
1,3406000,,,0,C#
2,3406081,,3406000,0,
2,3408739,,3406000,0,
1,10597987,,,4,Objective-C
1,17829783,,,0,Python
2,17829922,,17829783,0,
2,17830187,,17829783,1,
1,18369014,,,1,Python
2,18369054,,18369014,6,
1,5074359,,,4,Java
2,10902974,,5074359,0,
2,5074409,,5074359,12,
2,5074510,,5074359,5,
1,27072709,,,0,Java
1,12675293,,,0,PHP
1,14051030,,,0,CSS
2,14051109,,14051030,0,
2,14051137,,14051030,0,
2,14051148,,14051030,0,
1,5116753,,,1,C#
1,23753052,,,0,C#
2,23753168,,23753052,1,
1,14972324,,,1,C#
2,14973756,,14972324,0,
1,11690408,,,0,C#
1,9461621,,,18,JavaScript
2,9462382,,9461621,15,
2,27794789,,9461621,1,
2,14994860,,9461621,20,
2,28608086,,9461621,0,
1,7641264,,,1,CSS
2,7643702,,7641264,-1,
1,10726720,,,1,PHP
2,10726787,,10726720,2,
2,10726803,,10726720,4,
2,10726953,,10726720,3,
1,16115928,,,0,C++
2,16116065,,16115928,0,
1,27368433,,,0,C++
1,19787662,,,1,Groovy
2,19787875,,19787662,3,
1,22515871,,,2,Ruby
2,22516457,,22515871,0,
1,3344477,,,6,C#
2,3344577,,3344477,0,
2,3344589,,3344477,3,
2,3345113,,3344477,2,
1,25505165,,,0,Java
1,7082904,,,1,C#
2,7084074,,7082904,0,
1,13413052,,,1,JavaScript
2,13413125,,13413052,0,
1,15046772,,,0,Objective-C
1,9647741,,,7,C#
2,9648361,,9647741,0,
1,2496080,,,8,C#
1,16413720,,,-2,C#
1,10177666,,,26,Scala
1,26793012,,,1,JavaScript
1,14785687,,,0,Java
1,19245329,,,1,Python
1,8772977,,,0,Java
2,8773065,,8772977,0,
1,3786512,,,1,C#
2,3786591,,3786512,3,
2,3787374,,3786512,3,
1,2614473,,,37,Java
2,2614484,,2614473,56,
2,2614487,,2614473,16,
2,2614499,,2614473,0,
2,2614509,,2614473,0,
1,18848273,,,-3,C++
1,5981694,,,1,C++
2,5981837,,5981694,0,
2,5982043,,5981694,0,
